Sarah,Garner,2SSG,IamSarah,123456789,ssG@gmail.com,10 Foregate Street
Gracie,Leonard,GracieLeonard,NotASecurePassword,7750013401,GracieLeonard@teleworm.us,50 Layburn Court
Jack,Greenwood,GoldenGatez,Password,8174594073,BillyWright@jourrapide.com,3220 Waldeck Street
Luke,Hilton,UpOnAHill,passWord,6154724601,LukeHilton@dayrep.com,2081 Wilkinson Street
Joshua,Faulkner,FalcoPunch,SuperSmash,4088585823,JoshuaFaulkner@rhyta.com,3807 Sycamore Street
Rhys,Harding,HardlyAwake,ChipMunk,6627683408,RhysHarding@rhyta.com,3890 Rafe Lane
Madison,Ellis,ElliGray,IForgetImADoctor,7757936173,MadisonEllis@dayrep.com,2057 Martha Ellen Drive
Alicia,Parker,SpiderManIsMySon,Adopted,3305339364,AliciaParker@jourrapide.com,4862 Rainbow Drive
Kayleigh,Fletcher,MarioKart,DoubleDash,5106361825,KayleighFletcher@teleworm.us,2723 Clifford Street
Tilly,Little,ImInAMall,UpsideDownStore,5182449940,TillyLittle@armyspy.com,89 Ben Street
Riley,Wilson,WillyWilson,ImAProducer,7048202801,RileyWilson@rhyta.com,378 Harry Place
Jacob,Davis,JJDavis,1234,9728333393,JacobDavis@dayrep.com,4222 Ash Street
Jayden,Perry,KatiesCousin,ImRich,5029633832,JaydenPerry@armyspy.com,3030 Karen Lane
Faith,Oliver,NoOlivesOnPizza,PepperFlakes,4017803170,FaithOliver@dayrep.com,3730 Bond Street
Jack,Wright,LeftNotWright,FootBall,9734892456,JackWright@rhyta.com,2463 Granville Lane
Adam,Thomas,ImATankEngine,WatchMeOnTV,2173642845,AdamThomas@armyspy.com,1246 Bolman Court
Poppy,Adams,Married2Marry,WeArePoppins,3173303965,PoppyAdams@teleworm.us,4324 Crestview Manor
Sebastian,Dunn,DunDunDun,BeScared,2147396205,SebastianDunn@rhyta.com,20 Carolyns Circle
Kai,Spencer,SuspendesSpenc,Im2000FeetAbove,4077746245,KaiSpencer@armyspy.com,2138 Grand Avenue
Madison,Carroll,BasketCarrol,GreenDayIsABand,7405252633,MadisonCarroll@jourrapide.com,4117 Irving Road
